review_id,product_id,customer_id,rating,review_text,review_date
REV20089,PROD113,CUST2896,5,bad,2023-07-02
REV20090,PROD102,CUST3739,5,very good,2025-06-13
REV20091,PROD102,CUST1832,5,very good,2023-06-10
REV20092,PROD114,CUST1647,2,good,2023-01-09
REV20093,PROD113,CUST1807,2,very good,2025-03-11
REV20094,PROD104,CUST4296,2,bad,2025-06-30
REV20095,PROD105,CUST1254,5,average,2025-01-02
REV20096,PROD114,CUST1033,4,average,2023-05-12
REV20097,PROD103,CUST1698,4,bad,2023-11-30
REV20098,PROD101,CUST2386,5,very good,2024-02-09
REV20099,PROD110,CUST3511,3,bad,2025-02-17
REV20100,PROD107,CUST4247,4,bad,2023-02-24
REV20101,PROD107,CUST1711,5,bad,2022-12-17
REV20102,PROD112,CUST4202,1,average,2024-08-08
REV20103,PROD111,CUST2644,1,average,2022-12-20
REV20104,PROD104,CUST4536,2,very bad,2023-08-20
REV20105,PROD108,CUST4165,2,bad,2024-03-19
REV20106,PROD114,CUST1925,5,bad,2022-10-22
REV20107,PROD103,CUST4417,5,bad,2023-09-06
REV20108,PROD114,CUST2226,4,very bad,2023-06-27
REV20109,PROD110,CUST3865,1,good,2023-04-23
REV20110,PROD101,CUST4945,2,very good,2022-10-01
REV20111,PROD103,CUST2427,1,very good,2025-08-10
REV20112,PROD102,CUST4196,5,bad,2023-03-30
REV20113,PROD103,CUST3804,2,good,2024-02-27
REV20114,PROD108,CUST4589,2,very good,2023-12-23
REV20115,PROD114,CUST4582,2,good,2024-08-11
REV20116,PROD110,CUST5308,1,bad,2024-08-23
REV20117,PROD112,CUST5920,1,good,2023-03-23
REV20118,PROD101,CUST5795,5,average,2025-05-16
REV20119,PROD113,CUST1585,3,very bad,2024-01-02
REV20120,PROD103,CUST4058,1,very bad,2022-11-07
REV20121,PROD110,CUST1287,5,bad,2024-06-03
REV20122,PROD104,CUST3404,1,very good,2024-12-04
REV20123,PROD101,CUST4226,3,very good,2024-02-02
REV20124,PROD110,CUST5542,2,average,2024-07-15
REV20125,PROD105,CUST4004,5,good,2024-08-02
REV20126,PROD102,CUST1197,2,very bad,2023-12-16
REV20127,PROD100,CUST4677,5,very good,2025-03-19
REV20128,PROD100,CUST4076,4,bad,2023-07-29
REV20129,PROD100,CUST4734,5,good,2025-05-12
REV20130,PROD101,CUST2380,1,very bad,2024-05-03
REV20131,PROD105,CUST2688,4,very good,2024-02-09
REV20132,PROD103,CUST4943,5,good,2024-07-20
REV20133,PROD102,CUST1648,4,very good,2025-01-27
REV20134,PROD107,CUST1340,4,very good,2024-07-20
REV20135,PROD112,CUST4603,5,good,2023-10-13
REV20136,PROD112,CUST4267,5,average,2025-03-12
REV20137,PROD108,CUST1974,1,bad,2023-11-27
REV20138,PROD100,CUST5305,4,very good,2024-05-17
REV20139,PROD111,CUST4964,5,average,2024-12-14
REV20140,PROD108,CUST4916,3,bad,2024-06-07
REV20141,PROD102,CUST2328,2,very good,2023-07-10
REV20142,PROD108,CUST1192,4,bad,2024-03-23
REV20143,PROD109,CUST5839,4,average,2023-10-13
REV20144,PROD102,CUST4245,3,very bad,2023-04-21
REV20145,PROD105,CUST4244,2,good,2022-11-30
REV20146,PROD103,CUST4733,2,average,2024-05-08
REV20147,PROD112,CUST2820,2,average,2025-08-21
REV20148,PROD101,CUST5014,5,good,2024-03-16
REV20149,PROD111,CUST1716,1,good,2024-03-16
REV20150,PROD106,CUST1987,1,good,2024-02-03
REV20151,PROD111,CUST4033,5,very good,2024-01-05
REV20152,PROD110,CUST1292,4,very bad,2023-11-26
REV20153,PROD109,CUST1200,4,bad,2023-10-10
REV20154,PROD102,CUST5230,1,good,2022-12-17
REV20155,PROD101,CUST5498,3,very good,2022-11-18
REV20156,PROD112,CUST3570,4,average,2023-04-11
REV20157,PROD114,CUST3430,2,very good,2024-07-01
REV20158,PROD107,CUST1422,4,very good,2024-05-06
REV20159,PROD112,CUST3247,2,good,2023-07-30
REV20160,PROD109,CUST1148,4,good,2024-05-10
REV20161,PROD102,CUST4993,3,very good,2024-07-23
REV20162,PROD112,CUST5481,4,very bad,2023-09-06
REV20163,PROD106,CUST3163,1,good,2023-01-20
REV20164,PROD109,CUST2223,3,good,2023-03-17
REV20165,PROD106,CUST3450,3,bad,2025-05-28
REV20166,PROD101,CUST5229,5,very bad,2025-04-07
REV20167,PROD107,CUST4120,3,very good,2024-12-25
REV20168,PROD110,CUST3343,2,very good,2023-02-19
REV20169,PROD108,CUST5255,3,average,2023-12-11
REV20170,PROD112,CUST1552,5,very good,2023-09-06
REV20171,PROD105,CUST5599,3,good,2024-11-17
REV20172,PROD101,CUST3400,3,good,2024-01-19
REV20173,PROD106,CUST4387,2,very bad,2023-04-07
REV20174,PROD108,CUST1562,4,very bad,2022-12-03
REV20175,PROD110,CUST5652,4,very good,2024-10-12
REV20176,PROD111,CUST5448,1,bad,2023-07-12
REV20177,PROD104,CUST5125,3,very good,2023-03-21
REV20178,PROD108,CUST4573,5,very good,2024-03-24
REV20179,PROD103,CUST2946,2,very good,2024-03-26
REV20180,PROD113,CUST2644,3,very bad,2024-03-05
REV20181,PROD102,CUST3372,4,very good,2023-10-11
REV20182,PROD109,CUST5534,1,very good,2023-03-05
REV20183,PROD108,CUST5286,4,very good,2024-11-07
REV20184,PROD104,CUST4941,4,average,2025-03-01
REV20185,PROD106,CUST5175,4,good,2024-05-19
REV20186,PROD102,CUST2193,4,very bad,2023-05-05
REV20187,PROD112,CUST2784,4,bad,2022-10-28
REV20188,PROD101,CUST3466,4,bad,2024-06-12
REV20189,PROD109,CUST4591,4,very good,2022-12-08
REV20190,PROD113,CUST3835,4,very bad,2023-12-13
REV20191,PROD105,CUST2840,5,good,2022-12-12
REV20192,PROD102,CUST4438,2,average,2023-03-01
REV20193,PROD100,CUST4442,5,very good,2025-08-13
REV20194,PROD111,CUST2982,5,bad,2023-11-24
REV20195,PROD105,CUST1710,5,bad,2024-10-27
REV20196,PROD112,CUST4662,4,average,2024-06-18
REV20197,PROD113,CUST5602,2,bad,2023-04-13
REV20198,PROD104,CUST5363,2,average,2024-12-18
REV20199,PROD103,CUST5530,2,average,2023-08-28
REV20200,PROD107,CUST5616,2,bad,2023-09-20
REV20201,PROD106,CUST4600,1,bad,2023-09-24
REV20202,PROD107,CUST3934,2,very bad,2024-07-06
REV20203,PROD100,CUST4591,2,good,2023-08-21
REV20204,PROD108,CUST3190,2,good,2023-12-09
REV20205,PROD111,CUST3490,2,very good,2024-10-29
REV20206,PROD102,CUST1558,5,very good,2023-07-02
REV20207,PROD101,CUST5416,4,bad,2022-11-16
REV20208,PROD111,CUST2812,1,very good,2022-11-26
REV20209,PROD114,CUST3492,1,very good,2023-06-30
REV20210,PROD109,CUST2367,4,very good,2023-01-17
REV20211,PROD100,CUST2702,4,good,2023-04-22
REV20212,PROD109,CUST5639,5,bad,2024-01-11
REV20213,PROD109,CUST4161,1,very bad,2024-02-07
REV20214,PROD112,CUST5048,4,bad,2024-12-20
REV20215,PROD103,CUST1907,1,bad,2023-10-02
REV20216,PROD103,CUST3149,3,very bad,2023-11-16
REV20217,PROD113,CUST4951,4,average,2023-02-26
REV20218,PROD108,CUST3317,4,bad,2022-10-13
REV20219,PROD109,CUST1776,3,average,2023-12-05
REV20220,PROD104,CUST2634,5,average,2024-09-11
REV20221,PROD111,CUST2081,2,bad,2025-08-11
REV20222,PROD104,CUST1379,5,good,2025-04-19
REV20223,PROD109,CUST5727,3,average,2024-03-04
REV20224,PROD113,CUST1654,1,good,2024-12-01
REV20225,PROD106,CUST5054,2,bad,2024-04-17
REV20226,PROD110,CUST2263,5,very good,2023-09-07
REV20227,PROD106,CUST5922,3,very bad,2023-05-08
REV20228,PROD113,CUST5769,2,bad,2023-06-21
REV20229,PROD105,CUST1948,1,average,2023-10-30
REV20230,PROD113,CUST3153,4,good,2025-07-11
REV20231,PROD101,CUST2188,1,bad,2024-05-12
REV20232,PROD111,CUST2162,3,very good,2024-08-28
REV20233,PROD106,CUST3181,2,bad,2024-05-08
REV20234,PROD104,CUST1011,4,good,2025-08-19
REV20235,PROD104,CUST1587,3,bad,2023-12-01
REV20236,PROD102,CUST3656,2,very bad,2022-11-22
REV20237,PROD104,CUST1366,3,good,2023-10-02
REV20238,PROD108,CUST2406,5,very good,2025-06-08
REV20239,PROD113,CUST2944,4,very bad,2024-11-11
REV20240,PROD100,CUST2640,4,bad,2025-07-29
REV20241,PROD102,CUST5457,4,very good,2023-12-05
REV20242,PROD107,CUST1395,2,very bad,2025-04-25
REV20243,PROD101,CUST5595,1,very bad,2025-07-13
REV20244,PROD102,CUST2500,4,very bad,2023-06-03
REV20245,PROD101,CUST3649,2,very bad,2025-01-13
REV20246,PROD105,CUST4988,4,very bad,2023-05-26
REV20247,PROD107,CUST5522,1,good,2022-09-17
REV20248,PROD102,CUST3766,5,very bad,2023-03-25
REV20249,PROD105,CUST2332,5,average,2024-06-18
REV20250,PROD101,CUST5409,4,good,2025-06-07
REV20251,PROD100,CUST1101,3,bad,2023-01-20
REV20252,PROD106,CUST4425,1,very good,2023-02-01
REV20253,PROD110,CUST4623,4,very bad,2024-07-23
REV20254,PROD114,CUST1872,2,very bad,2022-10-27
REV20255,PROD114,CUST3649,2,bad,2023-05-20
REV20256,PROD109,CUST1662,3,bad,2024-12-21
REV20257,PROD108,CUST2020,5,very good,2025-05-12
REV20258,PROD104,CUST1954,5,bad,2025-06-11
REV20259,PROD101,CUST3325,3,good,2024-06-30
REV20260,PROD102,CUST1133,5,very good,2024-04-19
REV20261,PROD101,CUST1762,1,average,2022-10-24
REV20262,PROD108,CUST1518,5,bad,2025-07-12
REV20263,PROD111,CUST4258,5,bad,2025-01-06
REV20264,PROD109,CUST3773,2,bad,2024-12-25
REV20265,PROD107,CUST4410,3,bad,2024-11-07
REV20266,PROD107,CUST1103,4,average,2023-05-13
REV20267,PROD107,CUST3327,1,average,2025-05-13
REV20268,PROD106,CUST2917,5,bad,2024-09-09
REV20269,PROD108,CUST3174,1,very bad,2024-11-04
REV20270,PROD102,CUST5419,3,very bad,2022-09-26
REV20271,PROD114,CUST4068,5,very good,2024-03-28
REV20272,PROD100,CUST3909,3,very good,2023-01-01
REV20273,PROD102,CUST5886,4,very good,2024-01-06
REV20274,PROD109,CUST5198,3,bad,2024-03-01
REV20275,PROD100,CUST2961,1,very bad,2023-03-07
REV20276,PROD107,CUST3245,3,average,2023-04-26
REV20277,PROD109,CUST4040,2,very good,2023-04-24
REV20278,PROD103,CUST1375,1,very good,2024-02-16
REV20279,PROD114,CUST4647,2,average,2023-04-09
REV20280,PROD112,CUST4359,2,very good,2025-03-15
REV20281,PROD103,CUST5540,4,very bad,2024-10-30
REV20282,PROD107,CUST3904,2,bad,2023-02-19
REV20283,PROD103,CUST1742,4,average,2025-05-02
REV20284,PROD100,CUST4273,3,average,2022-10-28
REV20285,PROD101,CUST5346,2,good,2023-01-20
REV20286,PROD108,CUST5324,3,very good,2024-10-23
REV20287,PROD108,CUST2838,1,very good,2025-04-06
REV20288,PROD111,CUST1581,2,average,2023-03-06
REV20289,PROD114,CUST1579,3,very good,2024-10-19
REV20290,PROD111,CUST3487,2,very bad,2024-01-05
REV20291,PROD104,CUST5561,5,average,2024-11-25
REV20292,PROD110,CUST5616,5,very bad,2023-04-16
REV20293,PROD114,CUST4708,4,very bad,2025-06-10
REV20294,PROD114,CUST5644,5,very bad,2025-05-01
REV20295,PROD112,CUST2957,5,average,2022-12-07
REV20296,PROD101,CUST2019,3,very good,2024-09-20
REV20297,PROD105,CUST5221,5,very bad,2023-06-19
REV20298,PROD103,CUST4237,1,good,2023-03-07
REV20299,PROD113,CUST3172,2,average,2024-10-08
REV20300,PROD107,CUST2321,5,very bad,2024-12-16
REV20301,PROD110,CUST5839,2,very bad,2023-01-28
REV20302,PROD111,CUST2117,2,very bad,2024-12-21
REV20303,PROD105,CUST1544,5,bad,2023-01-04
REV20304,PROD106,CUST3146,3,very bad,2023-05-26
REV20305,PROD114,CUST5063,2,bad,2022-12-29
REV20306,PROD110,CUST2522,2,average,2023-01-24
REV20307,PROD106,CUST2928,1,good,2023-08-21
REV20308,PROD105,CUST1953,1,average,2024-03-13
REV20309,PROD113,CUST5329,3,good,2025-02-22
REV20310,PROD106,CUST2734,1,average,2023-09-29
REV20311,PROD103,CUST3282,5,good,2022-12-09
REV20312,PROD105,CUST2894,1,bad,2024-11-26
REV20313,PROD104,CUST3453,4,bad,2023-07-25
REV20314,PROD103,CUST1359,5,very bad,2022-11-17
REV20315,PROD102,CUST2179,2,bad,2023-09-25
REV20316,PROD114,CUST5812,3,average,2023-05-06
REV20317,PROD100,CUST3746,4,bad,2023-10-19
REV20318,PROD100,CUST5966,5,bad,2023-10-14
REV20319,PROD110,CUST3175,2,good,2024-08-31
REV20320,PROD109,CUST1430,5,very good,2025-07-14
REV20321,PROD113,CUST1731,3,good,2023-09-03
REV20322,PROD106,CUST2874,1,very bad,2023-12-29
REV20323,PROD111,CUST1224,3,good,2022-10-07
REV20324,PROD111,CUST1180,4,average,2022-11-22
REV20325,PROD113,CUST1139,5,very good,2022-12-31
REV20326,PROD110,CUST2404,2,average,2024-12-15
REV20327,PROD101,CUST3438,1,very good,2025-05-10
REV20328,PROD111,CUST2854,3,very bad,2022-12-26
REV20329,PROD110,CUST1434,3,average,2023-06-23
REV20330,PROD100,CUST1829,2,average,2023-01-16
REV20331,PROD111,CUST5677,4,average,2023-12-08
REV20332,PROD100,CUST1782,5,good,2023-07-17
REV20333,PROD100,CUST5827,5,bad,2023-03-25
REV20334,PROD112,CUST1318,5,very good,2024-01-02
REV20335,PROD108,CUST1802,2,very good,2024-01-14
REV20336,PROD110,CUST3346,5,very good,2022-12-08
REV20337,PROD103,CUST4417,5,bad,2025-08-12
REV20338,PROD100,CUST4516,2,very good,2023-10-19
REV20339,PROD103,CUST5739,1,very bad,2023-01-27
REV20340,PROD106,CUST2638,1,very good,2024-10-02
REV20341,PROD113,CUST3037,5,very bad,2023-09-29
REV20342,PROD101,CUST5246,4,bad,2024-11-24
REV20343,PROD107,CUST1008,1,very bad,2023-07-06
REV20344,PROD100,CUST4854,5,good,2024-10-01
REV20345,PROD109,CUST4085,1,good,2025-05-15
REV20346,PROD103,CUST4964,2,very good,2024-05-31
REV20347,PROD103,CUST5752,1,very good,2024-06-03
REV20348,PROD107,CUST2923,3,bad,2024-03-12
REV20349,PROD112,CUST1509,3,bad,2025-03-11
REV20350,PROD109,CUST5722,2,very bad,2023-04-07
REV20351,PROD111,CUST4191,3,bad,2023-04-15
REV20352,PROD112,CUST5111,1,bad,2024-06-28
REV20353,PROD112,CUST1363,5,very bad,2023-10-30
REV20354,PROD112,CUST5665,1,good,2025-06-28
REV20355,PROD110,CUST5925,2,good,2024-10-10
REV20356,PROD103,CUST4949,4,good,2024-07-27
REV20357,PROD102,CUST3141,4,bad,2024-06-16
REV20358,PROD107,CUST5435,3,bad,2023-10-31
REV20359,PROD106,CUST3978,2,good,2024-03-18
REV20360,PROD101,CUST2181,2,average,2022-11-24
REV20361,PROD107,CUST4101,3,good,2023-09-09
REV20362,PROD108,CUST1859,5,bad,2023-03-31
REV20363,PROD101,CUST5637,2,very good,2024-05-20
REV20364,PROD114,CUST1950,3,very bad,2022-09-09
REV20365,PROD102,CUST4958,5,good,2025-08-08
REV20366,PROD107,CUST1603,4,bad,2023-08-04
REV20367,PROD101,CUST5529,4,good,2025-08-06
REV20368,PROD100,CUST1183,5,very good,2022-10-06
REV20369,PROD104,CUST3931,4,bad,2023-09-24
REV20370,PROD104,CUST2238,5,good,2023-05-10
REV20371,PROD102,CUST2696,1,average,2023-05-08
REV20372,PROD107,CUST4530,5,very bad,2023-09-15
REV20373,PROD101,CUST2419,1,good,2022-09-03
REV20374,PROD109,CUST2592,4,bad,2022-12-01
REV20375,PROD114,CUST2547,5,very good,2024-05-13
REV20376,PROD106,CUST4021,1,average,2023-09-14
REV20377,PROD106,CUST3733,3,very good,2023-06-10
REV20378,PROD100,CUST3098,3,average,2025-06-19
REV20379,PROD111,CUST5183,5,good,2024-07-11
REV20380,PROD101,CUST5023,2,bad,2025-01-22
REV20381,PROD112,CUST2257,3,very bad,2023-08-04
REV20382,PROD109,CUST4986,1,very bad,2025-04-26
REV20383,PROD101,CUST2361,1,bad,2023-12-09
REV20384,PROD114,CUST1205,4,very bad,2023-09-11
REV20385,PROD106,CUST1388,2,very good,2024-05-19
REV20386,PROD104,CUST4534,1,average,2023-01-07
REV20387,PROD105,CUST3643,2,very bad,2023-04-20
REV20388,PROD107,CUST3031,2,very good,2024-07-25
REV20389,PROD102,CUST5243,2,very bad,2023-11-17
REV20390,PROD102,CUST5050,4,average,2025-06-23
REV20391,PROD106,CUST1064,5,very good,2023-08-06
REV20392,PROD100,CUST5014,5,very bad,2025-04-05
REV20393,PROD100,CUST2633,4,bad,2024-07-01
REV20394,PROD105,CUST5678,5,average,2024-01-11
REV20395,PROD107,CUST2954,1,very bad,2024-05-30
REV20396,PROD104,CUST3737,4,good,2024-05-24
REV20397,PROD100,CUST3060,2,good,2022-12-16
REV20398,PROD104,CUST3332,3,very bad,2025-08-22
REV20399,PROD108,CUST2985,1,good,2022-12-16
REV20400,PROD100,CUST1707,1,good,2024-04-05
REV20401,PROD104,CUST4239,2,bad,2023-01-03
REV20402,PROD108,CUST2686,1,very bad,2024-07-24
REV20403,PROD112,CUST3774,2,good,2024-04-03
REV20404,PROD105,CUST3392,1,bad,2025-04-11
REV20405,PROD107,CUST1541,4,very good,2025-05-07
REV20406,PROD111,CUST4678,4,average,2022-12-08
REV20407,PROD110,CUST2438,2,bad,2023-05-07
REV20408,PROD104,CUST2206,3,good,2023-05-15
REV20409,PROD114,CUST1976,3,average,2024-09-29
REV20410,PROD103,CUST2742,4,very bad,2023-02-11
REV20411,PROD110,CUST5251,1,good,2025-03-28
REV20412,PROD113,CUST1319,5,bad,2023-05-05
REV20413,PROD103,CUST5318,5,good,2024-12-05
REV20414,PROD103,CUST5441,4,good,2023-04-26
REV20415,PROD109,CUST1637,1,very bad,2023-04-01
REV20416,PROD111,CUST3096,3,average,2025-03-26
REV20417,PROD104,CUST5619,1,average,2022-12-14
REV20418,PROD102,CUST3497,2,bad,2023-07-28
REV20419,PROD107,CUST1281,1,good,2025-06-07
REV20420,PROD110,CUST3502,2,very bad,2024-03-16
REV20421,PROD106,CUST4671,2,bad,2024-06-25
REV20422,PROD101,CUST1258,4,average,2025-01-03
REV20423,PROD114,CUST1204,2,very bad,2025-07-01
REV20424,PROD110,CUST2988,5,good,2024-01-26
REV20425,PROD106,CUST3225,2,average,2023-04-15
REV20426,PROD107,CUST4090,5,very good,2023-11-28
REV20427,PROD107,CUST5919,3,good,2025-01-16
REV20428,PROD101,CUST3221,3,average,2023-09-26
REV20429,PROD105,CUST5306,4,bad,2022-08-26
REV20430,PROD113,CUST4192,5,bad,2025-02-03
REV20431,PROD112,CUST3839,4,good,2024-04-13
REV20432,PROD108,CUST2436,1,very good,2023-03-22
REV20433,PROD101,CUST1857,5,very bad,2025-02-22
REV20434,PROD106,CUST3958,5,bad,2022-11-08
REV20435,PROD104,CUST1640,5,bad,2023-02-22
REV20436,PROD102,CUST1302,1,bad,2023-02-20
REV20437,PROD103,CUST5366,5,average,2024-08-08
REV20438,PROD104,CUST3808,4,bad,2025-03-04
REV20439,PROD112,CUST5610,5,good,2023-02-23
REV20440,PROD112,CUST1875,5,good,2025-03-17
REV20441,PROD101,CUST5811,1,very bad,2023-01-09
REV20442,PROD105,CUST1939,1,good,2022-08-27
REV20443,PROD108,CUST1083,1,good,2023-09-06
REV20444,PROD100,CUST5627,3,average,2023-07-11
REV20445,PROD109,CUST2216,4,very good,2024-08-06
REV20446,PROD108,CUST4396,4,bad,2024-08-01
REV20447,PROD103,CUST2220,1,average,2025-05-24
REV20448,PROD110,CUST2713,1,average,2023-12-28
REV20449,PROD110,CUST4346,1,bad,2023-02-15
REV20450,PROD114,CUST4118,2,average,2023-12-18
REV20451,PROD100,CUST5325,3,bad,2023-08-15
REV20452,PROD101,CUST5462,4,average,2023-05-29
REV20453,PROD102,CUST4364,3,very good,2023-12-30
REV20454,PROD110,CUST1389,2,very good,2023-10-04
REV20455,PROD113,CUST3346,2,very good,2023-11-20
REV20456,PROD109,CUST1029,4,very bad,2025-08-16
REV20457,PROD107,CUST4080,4,average,2024-09-02
REV20458,PROD102,CUST4995,4,good,2024-07-23
REV20459,PROD114,CUST1350,2,very bad,2023-12-23
REV20460,PROD100,CUST5182,4,very bad,2022-09-28
REV20461,PROD100,CUST1917,3,very bad,2023-01-01
REV20462,PROD114,CUST4543,1,very good,2024-05-23
REV20463,PROD108,CUST3612,1,average,2023-04-01
REV20464,PROD109,CUST3254,2,very bad,2023-07-01
REV20465,PROD104,CUST1111,2,good,2025-03-12
REV20466,PROD108,CUST5028,5,very good,2023-11-06
REV20467,PROD102,CUST4624,4,very bad,2023-04-05
REV20468,PROD106,CUST1129,4,very good,2025-03-04
REV20469,PROD111,CUST3819,1,very bad,2024-06-09
REV20470,PROD112,CUST1320,2,bad,2025-03-18
REV20471,PROD103,CUST5048,3,bad,2025-01-20
REV20472,PROD106,CUST4573,3,good,2024-09-27
REV20473,PROD110,CUST1275,4,average,2025-02-11
REV20474,PROD107,CUST1178,2,good,2024-02-25
REV20475,PROD112,CUST2576,4,good,2025-04-11
REV20476,PROD101,CUST5203,4,average,2023-11-01
REV20477,PROD113,CUST4408,5,bad,2023-11-01
REV20478,PROD104,CUST5597,3,very good,2023-01-23
REV20479,PROD111,CUST3832,5,bad,2024-02-21
REV20480,PROD114,CUST4407,2,very good,2025-08-05
REV20481,PROD106,CUST3790,4,very bad,2023-02-07
REV20482,PROD108,CUST3995,3,very bad,2023-01-03
REV20483,PROD108,CUST3692,5,very good,2023-03-20
REV20484,PROD102,CUST2626,2,average,2024-11-08
REV20485,PROD112,CUST2201,3,good,2022-12-10
REV20486,PROD109,CUST1182,1,good,2023-11-07
REV20487,PROD110,CUST1168,2,very bad,2024-07-30
REV20488,PROD113,CUST4686,4,good,2023-04-04
REV20489,PROD102,CUST4145,3,bad,2024-03-15
REV20490,PROD107,CUST2679,5,good,2022-09-06
REV20491,PROD109,CUST2683,2,very good,2024-03-05
REV20492,PROD107,CUST4112,2,very bad,2024-03-20
REV20493,PROD109,CUST1241,5,bad,2023-01-08
REV20494,PROD103,CUST4208,5,good,2024-04-15
REV20495,PROD114,CUST1283,4,bad,2025-04-15
REV20496,PROD101,CUST4981,5,very good,2025-03-11
REV20497,PROD111,CUST3974,1,good,2023-09-05
REV20498,PROD113,CUST5518,5,bad,2023-01-25
REV20499,PROD113,CUST5274,5,very bad,2024-03-22
REV20500,PROD110,CUST4009,2,bad,2024-10-21
