order_item_id,order_id,product_id,quantity,unit_price
140,ORD10139,PROD111,5,59
141,ORD10140,PROD108,3,229
142,ORD10141,PROD102,3,199
143,ORD10142,PROD108,4,229
144,ORD10143,PROD109,2,129
145,ORD10144,PROD102,3,199
146,ORD10145,PROD105,4,110
147,ORD10146,PROD103,1,59
148,ORD10147,PROD112,3,199
149,ORD10148,PROD101,3,899
150,ORD10149,PROD111,3,59
151,ORD10150,PROD106,4,99
152,ORD10151,PROD111,5,59
153,ORD10152,PROD110,3,80
154,ORD10153,PROD109,4,129
155,ORD10154,PROD102,2,199
156,ORD10155,PROD101,4,899
157,ORD10156,PROD112,1,199
158,ORD10157,PROD114,1,25
159,ORD10158,PROD107,5,399
160,ORD10159,PROD112,4,199
161,ORD10160,PROD109,1,129
162,ORD10161,PROD102,3,199
163,ORD10162,PROD112,1,199
164,ORD10163,PROD106,1,99
165,ORD10164,PROD109,4,129
166,ORD10165,PROD106,1,99
167,ORD10166,PROD101,2,899
168,ORD10167,PROD107,4,399
169,ORD10168,PROD110,4,80
170,ORD10169,PROD108,5,229
171,ORD10170,PROD112,3,199
172,ORD10171,PROD105,5,110
173,ORD10172,PROD101,5,899
174,ORD10173,PROD106,3,99
175,ORD10174,PROD108,4,229
176,ORD10175,PROD110,1,80
177,ORD10176,PROD111,4,59
178,ORD10177,PROD104,3,120
179,ORD10178,PROD108,2,229
180,ORD10179,PROD103,2,59
181,ORD10180,PROD113,4,149
182,ORD10181,PROD102,3,199
183,ORD10182,PROD109,2,129
184,ORD10183,PROD108,3,229
185,ORD10184,PROD104,4,120
186,ORD10185,PROD106,5,99
187,ORD10186,PROD102,3,199
188,ORD10187,PROD112,2,199
189,ORD10188,PROD101,1,899
190,ORD10189,PROD109,4,129
191,ORD10190,PROD113,5,149
192,ORD10191,PROD105,5,110
193,ORD10192,PROD102,5,199
194,ORD10193,PROD100,5,999
195,ORD10194,PROD111,3,59
196,ORD10195,PROD105,2,110
197,ORD10196,PROD112,5,199
198,ORD10197,PROD113,2,149
199,ORD10198,PROD104,5,120
200,ORD10199,PROD103,4,59
201,ORD10200,PROD107,2,399
202,ORD10201,PROD106,5,99
203,ORD10202,PROD107,3,399
204,ORD10203,PROD100,2,999
205,ORD10204,PROD108,2,229
206,ORD10205,PROD111,1,59
207,ORD10206,PROD102,1,199
208,ORD10207,PROD101,3,899
209,ORD10208,PROD111,2,59
210,ORD10209,PROD114,2,25
211,ORD10210,PROD109,1,129
212,ORD10211,PROD100,1,999
213,ORD10212,PROD109,1,129
214,ORD10213,PROD109,4,129
215,ORD10214,PROD112,1,199
216,ORD10215,PROD103,1,59
217,ORD10216,PROD103,1,59
218,ORD10217,PROD113,1,149
219,ORD10218,PROD108,4,229
220,ORD10219,PROD109,2,129
221,ORD10220,PROD104,3,120
222,ORD10221,PROD111,4,59
223,ORD10222,PROD104,5,120
224,ORD10223,PROD109,3,129
225,ORD10224,PROD113,1,149
226,ORD10225,PROD106,3,99
227,ORD10226,PROD110,3,80
228,ORD10227,PROD106,4,99
229,ORD10228,PROD113,1,149
230,ORD10229,PROD105,2,110
231,ORD10230,PROD113,4,149
232,ORD10231,PROD101,1,899
233,ORD10232,PROD111,1,59
234,ORD10233,PROD106,5,99
235,ORD10234,PROD104,1,120
236,ORD10235,PROD104,5,120
237,ORD10236,PROD102,4,199
238,ORD10237,PROD104,5,120
239,ORD10238,PROD108,3,229
240,ORD10239,PROD113,5,149
241,ORD10240,PROD100,1,999
242,ORD10241,PROD102,1,199
243,ORD10242,PROD107,5,399
244,ORD10243,PROD101,4,899
245,ORD10244,PROD102,3,199
246,ORD10245,PROD101,4,899
247,ORD10246,PROD105,5,110
248,ORD10247,PROD107,4,399
249,ORD10248,PROD102,2,199
250,ORD10249,PROD105,5,110
251,ORD10250,PROD101,2,899
252,ORD10251,PROD100,1,999
253,ORD10252,PROD106,4,99
254,ORD10253,PROD110,1,80
255,ORD10254,PROD114,1,25
256,ORD10255,PROD114,1,25
257,ORD10256,PROD109,4,129
258,ORD10257,PROD108,5,229
259,ORD10258,PROD104,4,120
260,ORD10259,PROD101,2,899
261,ORD10260,PROD102,1,199
262,ORD10261,PROD101,3,899
263,ORD10262,PROD108,4,229
264,ORD10263,PROD111,3,59
265,ORD10264,PROD109,5,129
266,ORD10265,PROD107,1,399
267,ORD10266,PROD107,1,399
268,ORD10267,PROD107,2,399
269,ORD10268,PROD106,1,99
270,ORD10269,PROD108,2,229
271,ORD10270,PROD102,4,199
272,ORD10271,PROD114,2,25
273,ORD10272,PROD100,1,999
274,ORD10273,PROD102,4,199
275,ORD10274,PROD109,2,129
276,ORD10275,PROD100,4,999
277,ORD10276,PROD107,3,399
278,ORD10277,PROD109,1,129
279,ORD10278,PROD103,5,59
280,ORD10279,PROD114,3,25
281,ORD10280,PROD112,2,199
282,ORD10281,PROD103,3,59
283,ORD10282,PROD107,4,399
284,ORD10283,PROD103,2,59
285,ORD10284,PROD100,4,999
286,ORD10285,PROD101,4,899
287,ORD10286,PROD108,2,229
288,ORD10287,PROD108,4,229
289,ORD10288,PROD111,1,59
290,ORD10289,PROD114,4,25
291,ORD10290,PROD111,3,59
292,ORD10291,PROD104,1,120
293,ORD10292,PROD110,4,80
294,ORD10293,PROD114,1,25
295,ORD10294,PROD114,5,25
296,ORD10295,PROD112,2,199
297,ORD10296,PROD101,3,899
298,ORD10297,PROD105,2,110
299,ORD10298,PROD103,3,59
300,ORD10299,PROD113,5,149
301,ORD10300,PROD107,4,399
302,ORD10301,PROD110,3,80
303,ORD10302,PROD111,2,59
304,ORD10303,PROD105,1,110
305,ORD10304,PROD106,1,99
306,ORD10305,PROD114,4,25
307,ORD10306,PROD110,4,80
308,ORD10307,PROD106,2,99
309,ORD10308,PROD105,4,110
310,ORD10309,PROD113,2,149
311,ORD10310,PROD106,1,99
312,ORD10311,PROD103,4,59
313,ORD10312,PROD105,5,110
314,ORD10313,PROD104,3,120
315,ORD10314,PROD103,4,59
316,ORD10315,PROD102,2,199
317,ORD10316,PROD114,2,25
318,ORD10317,PROD100,4,999
319,ORD10318,PROD100,1,999
320,ORD10319,PROD110,4,80
321,ORD10320,PROD109,3,129
322,ORD10321,PROD113,4,149
323,ORD10322,PROD106,2,99
324,ORD10323,PROD111,2,59
325,ORD10324,PROD111,1,59
326,ORD10325,PROD113,2,149
327,ORD10326,PROD110,3,80
328,ORD10327,PROD101,3,899
329,ORD10328,PROD111,5,59
330,ORD10329,PROD110,1,80
331,ORD10330,PROD100,1,999
332,ORD10331,PROD111,4,59
333,ORD10332,PROD100,5,999
334,ORD10333,PROD100,4,999
335,ORD10334,PROD112,3,199
336,ORD10335,PROD108,4,229
337,ORD10336,PROD110,4,80
338,ORD10337,PROD103,2,59
339,ORD10338,PROD100,1,999
340,ORD10339,PROD103,5,59
341,ORD10340,PROD106,4,99
342,ORD10341,PROD113,3,149
343,ORD10342,PROD101,4,899
344,ORD10343,PROD107,4,399
345,ORD10344,PROD100,1,999
346,ORD10345,PROD109,5,129
347,ORD10346,PROD103,5,59
348,ORD10347,PROD103,5,59
349,ORD10348,PROD107,4,399
350,ORD10349,PROD112,2,199
351,ORD10350,PROD109,1,129
352,ORD10351,PROD111,1,59
353,ORD10352,PROD112,1,199
354,ORD10353,PROD112,5,199
355,ORD10354,PROD112,5,199
356,ORD10355,PROD110,3,80
357,ORD10356,PROD103,4,59
358,ORD10357,PROD102,2,199
359,ORD10358,PROD107,3,399
360,ORD10359,PROD106,5,99
361,ORD10360,PROD101,5,899
362,ORD10361,PROD107,1,399
363,ORD10362,PROD108,5,229
364,ORD10363,PROD101,2,899
365,ORD10364,PROD114,1,25
366,ORD10365,PROD102,5,199
367,ORD10366,PROD107,2,399
368,ORD10367,PROD101,5,899
369,ORD10368,PROD100,2,999
370,ORD10369,PROD104,4,120
371,ORD10370,PROD104,3,120
372,ORD10371,PROD102,1,199
373,ORD10372,PROD107,1,399
374,ORD10373,PROD101,3,899
375,ORD10374,PROD109,1,129
376,ORD10375,PROD114,4,25
377,ORD10376,PROD106,5,99
378,ORD10377,PROD106,5,99
379,ORD10378,PROD100,3,999
380,ORD10379,PROD111,2,59
381,ORD10380,PROD101,4,899
382,ORD10381,PROD112,2,199
383,ORD10382,PROD109,1,129
384,ORD10383,PROD101,2,899
385,ORD10384,PROD114,4,25
386,ORD10385,PROD106,5,99
387,ORD10386,PROD104,5,120
388,ORD10387,PROD105,4,110
389,ORD10388,PROD107,5,399
390,ORD10389,PROD102,3,199
391,ORD10390,PROD102,1,199
392,ORD10391,PROD106,2,99
393,ORD10392,PROD100,4,999
394,ORD10393,PROD100,1,999
395,ORD10394,PROD105,4,110
396,ORD10395,PROD107,4,399
397,ORD10396,PROD104,5,120
398,ORD10397,PROD100,1,999
399,ORD10398,PROD104,1,120
400,ORD10399,PROD108,3,229
401,ORD10400,PROD100,4,999
402,ORD10401,PROD104,3,120
403,ORD10402,PROD108,1,229
404,ORD10403,PROD112,2,199
405,ORD10404,PROD105,3,110
406,ORD10405,PROD107,2,399
407,ORD10406,PROD111,4,59
408,ORD10407,PROD110,2,80
409,ORD10408,PROD104,3,120
410,ORD10409,PROD114,5,25
411,ORD10410,PROD103,3,59
412,ORD10411,PROD110,1,80
413,ORD10412,PROD113,1,149
414,ORD10413,PROD103,1,59
415,ORD10414,PROD103,4,59
416,ORD10415,PROD109,5,129
417,ORD10416,PROD111,2,59
418,ORD10417,PROD104,4,120
419,ORD10418,PROD102,2,199
420,ORD10419,PROD107,5,399
421,ORD10420,PROD110,3,80
422,ORD10421,PROD106,2,99
423,ORD10422,PROD101,2,899
424,ORD10423,PROD114,4,25
425,ORD10424,PROD110,2,80
426,ORD10425,PROD106,2,99
427,ORD10426,PROD107,4,399
428,ORD10427,PROD107,5,399
429,ORD10428,PROD101,5,899
430,ORD10429,PROD105,4,110
431,ORD10430,PROD113,2,149
432,ORD10431,PROD112,4,199
433,ORD10432,PROD108,2,229
434,ORD10433,PROD101,1,899
435,ORD10434,PROD106,2,99
436,ORD10435,PROD104,3,120
437,ORD10436,PROD102,4,199
438,ORD10437,PROD103,5,59
439,ORD10438,PROD104,2,120
440,ORD10439,PROD112,1,199
441,ORD10440,PROD112,4,199
442,ORD10441,PROD101,3,899
443,ORD10442,PROD105,5,110
444,ORD10443,PROD108,2,229
445,ORD10444,PROD100,2,999
446,ORD10445,PROD109,3,129
447,ORD10446,PROD108,4,229
448,ORD10447,PROD103,4,59
449,ORD10448,PROD110,2,80
450,ORD10449,PROD110,4,80
451,ORD10450,PROD114,3,25
452,ORD10451,PROD100,2,999
453,ORD10452,PROD101,2,899
454,ORD10453,PROD102,5,199
455,ORD10454,PROD110,5,80
456,ORD10455,PROD113,1,149
457,ORD10456,PROD109,4,129
458,ORD10457,PROD107,1,399
459,ORD10458,PROD102,4,199
460,ORD10459,PROD114,4,25
461,ORD10460,PROD100,2,999
462,ORD10461,PROD100,3,999
463,ORD10462,PROD114,4,25
464,ORD10463,PROD108,4,229
465,ORD10464,PROD109,3,129
466,ORD10465,PROD104,5,120
467,ORD10466,PROD108,3,229
468,ORD10467,PROD102,5,199
469,ORD10468,PROD106,3,99
470,ORD10469,PROD111,1,59
471,ORD10470,PROD112,2,199
472,ORD10471,PROD103,1,59
473,ORD10472,PROD106,2,99
474,ORD10473,PROD110,2,80
475,ORD10474,PROD107,2,399
476,ORD10475,PROD112,4,199
477,ORD10476,PROD101,1,899
478,ORD10477,PROD113,3,149
479,ORD10478,PROD104,4,120
480,ORD10479,PROD111,3,59
481,ORD10480,PROD114,4,25
482,ORD10481,PROD106,2,99
483,ORD10482,PROD108,1,229
484,ORD10483,PROD108,2,229
485,ORD10484,PROD102,1,199
486,ORD10485,PROD112,5,199
487,ORD10486,PROD109,1,129
488,ORD10487,PROD110,5,80
489,ORD10488,PROD113,5,149
490,ORD10489,PROD102,3,199
491,ORD10490,PROD107,2,399
492,ORD10491,PROD109,2,129
493,ORD10492,PROD107,1,399
494,ORD10493,PROD109,4,129
495,ORD10494,PROD103,2,59
496,ORD10495,PROD114,4,25
497,ORD10496,PROD101,5,899
498,ORD10497,PROD111,2,59
499,ORD10498,PROD113,5,149
500,ORD10499,PROD113,3,149
501,ORD10500,PROD110,2,80
502,ORD10501,PROD111,4,59
503,ORD10502,PROD113,3,149
504,ORD10503,PROD102,1,199
505,ORD10504,PROD100,5,999
506,ORD10505,PROD101,1,899
507,ORD10506,PROD104,1,120
508,ORD10507,PROD109,1,129
509,ORD10508,PROD102,2,199
510,ORD10509,PROD114,5,25
511,ORD10510,PROD105,4,110
512,ORD10511,PROD111,5,59
513,ORD10512,PROD106,3,99
514,ORD10513,PROD112,3,199
515,ORD10514,PROD104,3,120
516,ORD10515,PROD111,1,59
517,ORD10516,PROD114,2,25
518,ORD10517,PROD103,2,59
519,ORD10518,PROD104,1,120
520,ORD10519,PROD102,4,199
521,ORD10520,PROD114,4,25
522,ORD10521,PROD100,4,999
523,ORD10522,PROD102,1,199
524,ORD10523,PROD114,4,25
525,ORD10524,PROD102,3,199
526,ORD10525,PROD104,3,120
527,ORD10526,PROD107,2,399
528,ORD10527,PROD112,3,199
529,ORD10528,PROD114,3,25
530,ORD10529,PROD106,2,99
531,ORD10530,PROD110,1,80
532,ORD10531,PROD101,5,899
533,ORD10532,PROD113,4,149
534,ORD10533,PROD101,5,899
535,ORD10534,PROD100,2,999
536,ORD10535,PROD113,1,149
537,ORD10536,PROD103,4,59
538,ORD10537,PROD114,3,25
539,ORD10538,PROD102,4,199
540,ORD10539,PROD104,5,120
541,ORD10540,PROD108,5,229
542,ORD10541,PROD100,3,999
543,ORD10542,PROD106,2,99
544,ORD10543,PROD107,4,399
545,ORD10544,PROD102,1,199
546,ORD10545,PROD112,5,199
547,ORD10546,PROD106,3,99
548,ORD10547,PROD109,3,129
549,ORD10548,PROD110,1,80
550,ORD10549,PROD101,3,899
551,ORD10550,PROD104,1,120
552,ORD10551,PROD105,2,110
553,ORD10552,PROD100,1,999
554,ORD10553,PROD103,4,59
555,ORD10554,PROD107,4,399
556,ORD10555,PROD107,1,399
557,ORD10556,PROD113,5,149
558,ORD10557,PROD102,1,199
559,ORD10558,PROD103,5,59
560,ORD10559,PROD114,2,25
561,ORD10560,PROD112,3,199
562,ORD10561,PROD103,1,59
563,ORD10562,PROD110,3,80
564,ORD10563,PROD113,2,149
565,ORD10564,PROD109,1,129
566,ORD10565,PROD110,5,80
567,ORD10566,PROD104,4,120
568,ORD10567,PROD113,3,149
569,ORD10568,PROD110,1,80
570,ORD10569,PROD105,1,110
571,ORD10570,PROD100,1,999
572,ORD10571,PROD109,2,129
573,ORD10572,PROD109,4,129
574,ORD10573,PROD110,5,80
575,ORD10574,PROD108,5,229
576,ORD10575,PROD110,1,80
577,ORD10576,PROD102,3,199
578,ORD10577,PROD109,2,129
579,ORD10578,PROD107,4,399
580,ORD10579,PROD108,2,229
581,ORD10580,PROD112,2,199
582,ORD10581,PROD112,1,199
583,ORD10582,PROD109,2,129
584,ORD10583,PROD107,5,399
585,ORD10584,PROD113,2,149
586,ORD10585,PROD111,1,59
587,ORD10586,PROD104,2,120
588,ORD10587,PROD113,4,149
589,ORD10588,PROD114,2,25
590,ORD10589,PROD103,1,59
591,ORD10590,PROD114,3,25
592,ORD10591,PROD109,4,129
593,ORD10592,PROD106,5,99
594,ORD10593,PROD106,2,99
595,ORD10594,PROD102,5,199
596,ORD10595,PROD101,1,899
597,ORD10596,PROD102,5,199
598,ORD10597,PROD109,5,129
599,ORD10598,PROD100,4,999
600,ORD10599,PROD110,1,80
601,ORD10600,PROD111,1,59
602,ORD10601,PROD103,1,59
603,ORD10602,PROD105,4,110
604,ORD10603,PROD113,1,149
605,ORD10604,PROD110,4,80
606,ORD10605,PROD107,5,399
607,ORD10606,PROD100,3,999
608,ORD10607,PROD113,3,149
609,ORD10608,PROD105,4,110
610,ORD10609,PROD101,5,899
611,ORD10610,PROD113,3,149
612,ORD10611,PROD101,1,899
613,ORD10612,PROD114,1,25
614,ORD10613,PROD105,4,110
615,ORD10614,PROD107,1,399
616,ORD10615,PROD104,4,120
617,ORD10616,PROD107,2,399
618,ORD10617,PROD105,4,110
619,ORD10618,PROD114,2,25
620,ORD10619,PROD110,1,80
621,ORD10620,PROD111,3,59
622,ORD10621,PROD112,5,199
623,ORD10622,PROD108,5,229
624,ORD10623,PROD114,5,25
625,ORD10624,PROD113,5,149
626,ORD10625,PROD104,1,120
627,ORD10626,PROD113,3,149
628,ORD10627,PROD104,2,120
629,ORD10628,PROD106,2,99
630,ORD10629,PROD114,3,25
631,ORD10630,PROD105,1,110
632,ORD10631,PROD101,5,899
633,ORD10632,PROD105,2,110
634,ORD10633,PROD110,5,80
635,ORD10634,PROD109,2,129
636,ORD10635,PROD100,3,999
637,ORD10636,PROD111,5,59
638,ORD10637,PROD107,2,399
639,ORD10638,PROD111,1,59
640,ORD10639,PROD112,3,199
641,ORD10640,PROD110,3,80
642,ORD10641,PROD105,5,110
643,ORD10642,PROD102,4,199
644,ORD10643,PROD105,3,110
645,ORD10644,PROD113,4,149
646,ORD10645,PROD110,4,80
647,ORD10646,PROD101,3,899
648,ORD10647,PROD114,4,25
649,ORD10648,PROD100,3,999
650,ORD10649,PROD103,2,59
651,ORD10650,PROD104,5,120
652,ORD10651,PROD101,3,899
653,ORD10652,PROD100,1,999
654,ORD10653,PROD114,5,25
655,ORD10654,PROD111,3,59
656,ORD10655,PROD107,2,399
657,ORD10656,PROD108,3,229
658,ORD10657,PROD113,1,149
659,ORD10658,PROD104,4,120
660,ORD10659,PROD108,2,229
661,ORD10660,PROD111,1,59
662,ORD10661,PROD107,1,399
663,ORD10662,PROD112,3,199
664,ORD10663,PROD111,2,59
665,ORD10664,PROD103,3,59
666,ORD10665,PROD110,4,80
667,ORD10666,PROD113,2,149
668,ORD10667,PROD105,2,110
669,ORD10668,PROD107,2,399
670,ORD10669,PROD109,5,129
671,ORD10670,PROD106,1,99
672,ORD10671,PROD107,2,399
673,ORD10672,PROD111,4,59
674,ORD10673,PROD110,1,80
675,ORD10674,PROD100,1,999
676,ORD10675,PROD113,2,149
677,ORD10676,PROD104,3,120
678,ORD10677,PROD104,4,120
679,ORD10678,PROD102,3,199
680,ORD10679,PROD108,2,229
681,ORD10680,PROD106,1,99
682,ORD10681,PROD105,5,110
683,ORD10682,PROD105,5,110
684,ORD10683,PROD109,4,129
685,ORD10684,PROD109,2,129
686,ORD10685,PROD106,5,99
687,ORD10686,PROD103,3,59
688,ORD10687,PROD111,5,59
689,ORD10688,PROD108,4,229
690,ORD10689,PROD107,1,399
691,ORD10690,PROD113,1,149
692,ORD10691,PROD112,4,199
693,ORD10692,PROD114,2,25
694,ORD10693,PROD105,3,110
695,ORD10694,PROD105,3,110
696,ORD10695,PROD109,4,129
697,ORD10696,PROD107,2,399
698,ORD10697,PROD101,1,899
699,ORD10698,PROD107,4,399
700,ORD10699,PROD110,2,80
701,ORD10700,PROD103,2,59
702,ORD10701,PROD103,4,59
703,ORD10702,PROD113,2,149
704,ORD10703,PROD105,2,110
705,ORD10704,PROD109,4,129
706,ORD10705,PROD101,4,899
707,ORD10706,PROD110,5,80
708,ORD10707,PROD105,4,110
709,ORD10708,PROD112,5,199
710,ORD10709,PROD110,3,80
711,ORD10710,PROD112,3,199
712,ORD10711,PROD108,5,229
713,ORD10712,PROD101,4,899
714,ORD10713,PROD110,2,80
715,ORD10714,PROD104,4,120
716,ORD10715,PROD109,5,129
717,ORD10716,PROD114,4,25
718,ORD10717,PROD109,2,129
719,ORD10718,PROD107,5,399
720,ORD10719,PROD102,5,199
721,ORD10720,PROD107,4,399
722,ORD10721,PROD114,1,25
723,ORD10722,PROD109,3,129
724,ORD10723,PROD112,4,199
725,ORD10724,PROD100,4,999
726,ORD10725,PROD103,2,59
727,ORD10726,PROD101,1,899
728,ORD10727,PROD112,4,199
729,ORD10728,PROD108,4,229
730,ORD10729,PROD102,5,199
731,ORD10730,PROD113,1,149
732,ORD10731,PROD108,4,229
733,ORD10732,PROD103,2,59
734,ORD10733,PROD110,4,80
735,ORD10734,PROD101,4,899
736,ORD10735,PROD107,4,399
737,ORD10736,PROD103,2,59
738,ORD10737,PROD110,2,80
739,ORD10738,PROD109,1,129
740,ORD10739,PROD105,5,110
741,ORD10740,PROD100,2,999
742,ORD10741,PROD114,4,25
743,ORD10742,PROD114,5,25
744,ORD10743,PROD113,1,149
745,ORD10744,PROD102,2,199
746,ORD10745,PROD110,2,80
747,ORD10746,PROD113,2,149
748,ORD10747,PROD104,5,120
749,ORD10748,PROD111,1,59
750,ORD10749,PROD110,1,80
751,ORD10750,PROD114,2,25
752,ORD10751,PROD114,5,25
753,ORD10752,PROD106,3,99
754,ORD10753,PROD112,2,199
755,ORD10754,PROD100,5,999
756,ORD10755,PROD102,3,199
757,ORD10756,PROD102,2,199
758,ORD10757,PROD108,4,229
759,ORD10758,PROD108,3,229
760,ORD10759,PROD110,5,80
761,ORD10760,PROD114,2,25
762,ORD10761,PROD105,4,110
763,ORD10762,PROD109,3,129
764,ORD10763,PROD114,2,25
765,ORD10764,PROD114,3,25
766,ORD10765,PROD113,1,149
767,ORD10766,PROD101,4,899
768,ORD10767,PROD109,5,129
769,ORD10768,PROD104,3,120
770,ORD10769,PROD104,4,120
771,ORD10770,PROD109,4,129
772,ORD10771,PROD106,1,99
773,ORD10772,PROD105,5,110
774,ORD10773,PROD111,2,59
775,ORD10774,PROD100,4,999
776,ORD10775,PROD102,3,199
777,ORD10776,PROD108,5,229
778,ORD10777,PROD109,3,129
779,ORD10778,PROD112,2,199
780,ORD10779,PROD104,2,120
781,ORD10780,PROD100,5,999
782,ORD10781,PROD111,5,59
783,ORD10782,PROD107,2,399
784,ORD10783,PROD100,4,999
785,ORD10784,PROD113,5,149
786,ORD10785,PROD100,5,999
787,ORD10786,PROD101,1,899
788,ORD10787,PROD113,4,149
789,ORD10788,PROD100,5,999
790,ORD10789,PROD106,4,99
791,ORD10790,PROD110,1,80
792,ORD10791,PROD114,4,25
793,ORD10792,PROD107,4,399
794,ORD10793,PROD104,3,120
795,ORD10794,PROD100,1,999
796,ORD10795,PROD106,2,99
797,ORD10796,PROD104,1,120
798,ORD10797,PROD100,2,999
799,ORD10798,PROD111,4,59
800,ORD10799,PROD109,3,129
801,ORD10800,PROD104,5,120
802,ORD10801,PROD112,2,199
803,ORD10802,PROD105,3,110
804,ORD10803,PROD103,2,59
805,ORD10804,PROD100,3,999
806,ORD10805,PROD101,5,899
807,ORD10806,PROD104,5,120
808,ORD10807,PROD108,4,229
809,ORD10808,PROD100,4,999
810,ORD10809,PROD109,3,129
811,ORD10810,PROD108,2,229
812,ORD10811,PROD112,5,199
813,ORD10812,PROD105,4,110
814,ORD10813,PROD105,1,110
815,ORD10814,PROD105,1,110
816,ORD10815,PROD101,5,899
817,ORD10816,PROD106,2,99
818,ORD10817,PROD106,5,99
819,ORD10818,PROD112,5,199
820,ORD10819,PROD113,4,149
